	ensg	gene_name_v99	ensg_v99
12	ENSG00000049249	TNFRSF9	ENSG00000049249.8
46	ENSG00000120949	TNFRSF8	ENSG00000120949.15
60	ENSG00000142606	MMEL1	ENSG00000142606.16
65	ENSG00000149527	PLCH2	ENSG00000149527.18
74	ENSG00000158286	RNF207	ENSG00000158286.13
84	ENSG00000162444	RBP7	ENSG00000162444.12
85	ENSG00000162490	DRAXIN	ENSG00000162490.7
96	ENSG00000169717	ACTRT2	ENSG00000169717.7
101	ENSG00000171608	PIK3CD	ENSG00000171608.16
116	ENSG00000175756	AURKAIP1	ENSG00000175756.13
144	ENSG00000188157	AGRN	ENSG00000188157.15
158	ENSG00000198793	MTOR	ENSG00000198793.13
500	ENSG00000001460	STPG1	ENSG00000001460.18
511	ENSG00000053371	AKR7A2	ENSG00000053371.12
512	ENSG00000053372	MRTO4	ENSG00000053372.5
523	ENSG00000077549	CAPZB	ENSG00000077549.18
538	ENSG00000117122	MFAP2	ENSG00000117122.14
540	ENSG00000117154	IGSF21	ENSG00000117154.12
543	ENSG00000117245	KIF17	ENSG00000117245.12
554	ENSG00000117676	RPS6KA1	ENSG00000117676.14
564	ENSG00000126705	AHDC1	ENSG00000126705.15
572	ENSG00000130766	SESN2	ENSG00000130766.5
588	ENSG00000142632	ARHGEF19	ENSG00000142632.17
600	ENSG00000142784	WDTC1	ENSG00000142784.16
616	ENSG00000158747	NBL1	ENSG00000158747.14
620	ENSG00000158816	VWA5B1	ENSG00000158816.15
630	ENSG00000162438	CTRC	ENSG00000162438.12
648	ENSG00000173372	C1QA	ENSG00000173372.17
651	ENSG00000174950	CD164L2	ENSG00000174950.11
653	ENSG00000175707	KDF1	ENSG00000175707.9
663	ENSG00000179163	FUCA1	ENSG00000179163.11
683	ENSG00000187010	RHD	ENSG00000187010.21
688	ENSG00000188060	RAB42	ENSG00000188060.7
697	ENSG00000197245	FAM110D	ENSG00000197245.6
1003	ENSG00000044012	GUCA2B	ENSG00000044012.4
1010	ENSG00000066056	TIE1	ENSG00000066056.14
1029	ENSG00000116478	HDAC1	ENSG00000116478.12
1048	ENSG00000117013	KCNQ4	ENSG00000117013.17
1049	ENSG00000117016	RIMS3	ENSG00000117016.10
1050	ENSG00000117385	P3H1	ENSG00000117385.16
1051	ENSG00000117394	SLC2A1	ENSG00000117394.23
1066	ENSG00000121766	ZCCHC17	ENSG00000121766.15
1078	ENSG00000126106	TMEM53	ENSG00000126106.14
1083	ENSG00000127603	MACF1	ENSG00000127603.28
1087	ENSG00000131238	PPT1	ENSG00000131238.17
1111	ENSG00000158315	RHBDL2	ENSG00000158315.11
1133	ENSG00000163873	GRIK3	ENSG00000163873.10
1153	ENSG00000173846	PLK3	ENSG00000173846.13
1165	ENSG00000182866	LCK	ENSG00000182866.17
1181	ENSG00000187513	GJA4	ENSG00000187513.9
1184	ENSG00000188396	TCTEX1D4	ENSG00000188396.3
1189	ENSG00000189433	GJB4	ENSG00000189433.7
1239	ENSG00000214193	SH3D21	ENSG00000214193.11
1504	ENSG00000066557	LRRC40	ENSG00000066557.6
1538	ENSG00000117834	SLC5A9	ENSG00000117834.12
1543	ENSG00000121310	ECHDC2	ENSG00000121310.17
1545	ENSG00000123091	RNF11	ENSG00000123091.5
1577	ENSG00000159592	GPBP1L1	ENSG00000159592.11
1583	ENSG00000162368	CMPK1	ENSG00000162368.13
1586	ENSG00000162377	COA7	ENSG00000162377.6
1598	ENSG00000162409	PRKAA2	ENSG00000162409.11
1600	ENSG00000162434	JAK1	ENSG00000162434.13
1610	ENSG00000162607	USP1	ENSG00000162607.13
1615	ENSG00000172410	INSL5	ENSG00000172410.4
1618	ENSG00000173660	UQCRH	ENSG00000173660.12
1627	ENSG00000184588	PDE4B	ENSG00000184588.18
1630	ENSG00000185483	ROR1	ENSG00000185483.12
1644	ENSG00000198160	MIER1	ENSG00000198160.14
2009	ENSG00000097046	CDC7	ENSG00000097046.13
2020	ENSG00000117174	ZNHIT6	ENSG00000117174.11
2026	ENSG00000117525	F3	ENSG00000117525.14
2045	ENSG00000137936	BCAR3	ENSG00000137936.18
2049	ENSG00000137947	GTF2B	ENSG00000137947.12
2050	ENSG00000137948	BRDT	ENSG00000137948.18
2053	ENSG00000137960	GIPC2	ENSG00000137960.6
2059	ENSG00000137976	DNASE2B	ENSG00000137976.7
2066	ENSG00000143013	LMO4	ENSG00000143013.13
2068	ENSG00000143033	MTF2	ENSG00000143033.18
2074	ENSG00000153936	HS2ST1	ENSG00000153936.17
2076	ENSG00000154027	AK5	ENSG00000154027.19
2081	ENSG00000156876	SASS6	ENSG00000156876.10
